On my way to Tampa Florida. Look forward to seeing everyone soon! https://t.co/BSB6IjBK7r,travel,,07-31-2018 20:49:25,7551,43247,,
I have arrived in Scotland and will be at Trump Turnberry for two days of meetings calls and hopefully some golf - my primary form of exercise! The weather is beautiful and this place is incredible! Tomorrow I go to Helsinki for a Monday meeting with Vladimir Putin.,travel ,,07-14-2018 09:43:04,15392,86262,,
This is now changing - for the first time! https://t.co/bRgrMbdDPp,foreign_relations ,,07-14-2018 09:18:40,12510,58299,,
🇺🇸🇬🇧 https://t.co/CwnBfe3smd,foreign_relations ,,07-13-2018 18:04:59,21091,104462,,
Joint Press Conference with Prime Minister Theresa May...https://t.co/XQLkayYKlM,foreign_relations ,,07-13-2018 14:07:29,11198,51960,,
Congressman Matt Gaetz of Florida is one of the finest and most talented people in Congress. Strong on Crime the Border Illegal Immigration the 2nd Amendment our great Military &amp; Vets Matt worked tirelessly on helping to get our Massive Tax Cuts. He has my Full Endorsement!,election,,07-13-2018 06:02:42,21937,92159,,
Great success today at NATO! Billions of additional dollars paid by members since my election. Great spirit!,foreign_relations ,,07-12-2018 17:52:33,21298,108983,,
A very nice note from Chairman Kim of North Korea. Great progress being made! https://t.co/6NI6AqL0xt,foreign_relations ,,07-12-2018 16:32:21,25716,93775,,
“Trump has been the most consequential president in history when it comes to minority employment. In June for instance the unemployment rate for Hispanics and Latinos 16 years and older fell to 4.6% its lowest level ever from 4.9% in May.” https://t.co/ex9jizOyAV,economy,,07-12-2018 15:10:51,18600,68973,,
Thank you #NATO2018! https://t.co/nk85QBv1u7,foreign_relations ,,07-12-2018 14:12:41,12900,64034,,
#NATOSummit2018 Press Conference in Brussels Belgium:https://t.co/iEOeGV6YBI,foreign_relations ,,07-12-2018 10:57:06,10489,42675,,
....On top of it all Germany just started paying Russia the country they want protection from Billions of Dollars for their Energy needs coming out of a new pipeline from Russia. Not acceptable! All NATO Nations must meet their 2% commitment and that must ultimately go to 4%!,foreign_relations ,,07-12-2018 06:12:05,20410,88176,,
Presidents have been trying unsuccessfully for years to get Germany and other rich NATO Nations to pay more toward their protection from Russia. They pay only a fraction of their cost. The U.S. pays tens of Billions of Dollars too much to subsidize Europe and loses Big on Trade!,foreign_relations ,,07-12-2018 06:03:29,17565,77174,,
As I head out to a very important NATO meeting I see that FBI Lover/Agent Lisa Page is dodging a Subpoena &amp; is refusing to show up and testify. What can she possibly say about her statements and lies. So much corruption on the other side. Where is the Attorney General? @FoxNews,collusion ,,07-12-2018 05:55:24,18572,81600,,
Billions of additional dollars are being spent by NATO countries since my visit last year at my request but it isn’t nearly enough. U.S. spends too much. Europe’s borders are BAD! Pipeline dollars to Russia are not acceptable!,foreign_relations  ,,07-11-2018 23:33:33,19094,82413,,
How can the Rigged Witch Hunt proceed when it was started influenced and worked on for an extended period of time by former FBI Agent/Lover Peter Strzok? Read his hate filled and totally biased Emails and the answer is clear!,collusion ,,07-11-2018 22:47:16,21619,87721,,
Ex-FBI LAYER Lisa Page today defied a House of Representatives issued Subpoena to testify before Congress! Wow but is anybody really surprised!  Together with her lover FBI Agent Peter Strzok she worked on the Rigged Witch Hunt perhaps the most tainted and corrupt case EVER!,collusion ,,07-11-2018 21:53:26,24084,94749,,
If the Democrats want to win Supreme Court and other Court picks don’t Obstruct and Resist but rather do it the good ol’ fashioned way WIN ELECTIONS!,current_events,,07-11-2018 21:09:01,18454,84532,,
What good is NATO if Germany is paying Russia billions of dollars for gas and energy? Why are there only 5 out of 29 countries that have met their commitment? The U.S. is paying for Europe’s protection then loses billions on Trade. Must pay 2% of GDP IMMEDIATELY not by 2025.,foreign_relations ,,07-11-2018 17:07:27,29470,119730,,
What good is NATO if Germany is paying Russia billions of dollars for gas and energy? Why are their only 5 out of 29 countries that have met their commitment? The U.S. is paying for Europe’s protection then loses billions on Trade. Must pay 2% of GDP IMMEDIATELY not by 2025.,foreign_relations ,,07-11-2018 16:50:49,4129,0,,
Democrats in Congress must no longer Obstruct - vote to fix our terrible Immigration Laws now. I am watching what is going on from Europe - it would be soooo simple to fix. Judges run the system and illegals and traffickers know how it works. They are just using children!,border_security,,07-11-2018 16:41:12,22389,91255,,
...things up better than ever before but it can’t go too quickly. I am fighting for a level playing field for our farmers and will win!,foreign_relations ,,07-11-2018 12:40:32,13687,70612,,
I am in Brussels but always thinking about our farmers. Soy beans fell 50% from 2012 to my election. Farmers have done poorly for 15 years. Other countries’ trade barriers and tariffs have been destroying their businesses. I will open...,foreign_relations ,,07-11-2018 12:40:31,17371,81131,,
Bilateral Breakfast with NATO Secretary General in Brussels Belgium... https://t.co/l0EP3lzhCM,foreign_relations ,,07-11-2018 08:04:45,19380,77139,,
Just talked with Pfizer CEO and @SecAzar on our drug pricing blueprint. Pfizer is rolling back price hikes so American patients don’t pay more. We applaud Pfizer for this decision and hope other companies do the same. Great news for the American people!,random_kindness,,07-10-2018 22:37:28,25601,108068,,
The European Union makes it impossible for our farmers and workers and companies to do business in Europe (U.S. has a $151 Billion trade deficit) and then they want us to happily defend them through NATO and nicely pay for it. Just doesn’t work!,foreign_relations ,,07-10-2018 18:52:21,24458,99823,,
A recent Emerson College ePoll said that most Americans especially Hispanics feel that they are better off under President Trump than they were under President Obama.,trump_admin ,,07-10-2018 18:42:21,21716,106543,,
Many countries in NATO which we are expected to defend are not only short of their current commitment of 2% (which is low) but are also delinquent for many years in payments that have not been made. Will they reimburse the U.S.?,foreign_relations ,,07-10-2018 17:01:30,18483,77497,,
Informing the Republican Senators of my nomination of Judge Brett Kavanaugh. #SCOTUS https://t.co/O5cAaVAtQt,current_events,,07-10-2018 14:49:17,9526,50793,,
I am on Air Force One flying to NATO and hear reports that the FBI lovers Peter Strzok and Lisa Page are getting cold feet on testifying about  the Rigged Witch Hunt headed by 13 Angry Democrats and people that worked for Obama for 8 years. Total disgrace!,collusion ,,07-10-2018 14:40:12,25348,107691,,
On behalf of the United States congratulations to the Thai Navy SEALs and all on the successful rescue of the 12 boys and their coach from the treacherous cave in Thailand. Such a beautiful moment - all freed great job!,random_kindness,,07-10-2018 12:39:18,40357,185811,,
Thank you to all of my great supporters really big progress being made. Other countries wanting to fix crazy trade deals. Economy is ROARING. Supreme Court pick getting GREAT REVIEWS. New Poll says Trump at over 90% is the most popular Republican in history of the Party. Wow!,trump_admin ,,07-10-2018 10:59:30,25810,124606,,
NATO countries must pay MORE the United States must pay LESS. Very Unfair!,foreign_relations ,,07-10-2018 10:42:43,14005,68991,,
Getting ready to leave for Europe. First meeting - NATO. The U.S. is spending many times more than any other country in order to protect them. Not fair to the U.S. taxpayer. On top of that we lose $151 Billion on Trade with the European Union. Charge us big Tariffs (&amp; Barriers)!,foreign_relations ,,07-10-2018 09:35:05,15620,71535,,
Tonight it was my honor and privilege to nominate Judge Brett Kavanaugh to the United States Supreme Court. #SCOTUS https://t.co/97clc9zifm,election,,07-10-2018 02:54:10,16162,80919,,
HAPPY 100TH BIRTHDAY to our amazing current and former Army Warrant Officers. Thank you for your century of service as the indispensable guardians of our great @USArmy’s technology! #CenturyOfService https://t.co/hD42XseaTG,random_kindness,,07-09-2018 22:22:40,14118,65605,,
Pfizer &amp; others should be ashamed that they have raised drug prices for no reason. They are merely taking advantage of the poor &amp; others unable to defend themselves while at the same time giving bargain basement prices to other countries in Europe &amp; elsewhere. We will respond!,current_events,,07-09-2018 17:08:29,28852,112761,,
The failing NY Times Fake News story today about breast feeding must be called out. The U.S. strongly supports breast feeding but we don’t believe women should be denied access to formula. Many women need this option because of malnutrition and poverty.,news ,,07-09-2018 17:04:04,22998,99823,,
I have confidence that Kim Jong Un will honor the contract we signed &amp; even more importantly our handshake. We agreed to the denuclearization of North Korea. China on the other hand may be exerting negative pressure on a deal because of our posture on Chinese Trade-Hope Not!,foreign_relations ,,07-09-2018 14:25:06,20173,92956,,
I have long heard that the most important decision a U.S. President can make is the selection of a Supreme Court Justice - Will be announced tonight at 9:00 P.M.,current_events,,07-09-2018 12:14:43,21476,116459,,
...Europe far more than it does the U.S. By some accounts the U.S. is paying for 90% of NATO with many countries nowhere close to their 2% commitment. On top of this the European Union has a Trade Surplus of $151 Million with the U.S. with big Trade Barriers on U.S. goods. NO!,foreign_relations ,,07-09-2018 12:04:02,16185,71693,,
The United States is spending far more on NATO than any other Country. This is not fair nor is it acceptable. While these countries have been increasing their contributions since I took office they must do much more. Germany is at 1% the U.S. is at 4% and NATO benefits.......,foreign_relations ,,07-09-2018 11:55:01,17558,73300,,
They just didn't get it but they do now! https://t.co/9T50NupkDy,trump_admin ,,07-08-2018 21:58:52,108798,317534,,
Looking forward to announcing my final decision on the United States Supreme Court Justice at 9:00pmE tomorrow night at the @WhiteHouse. An exceptional person will be chosen!,current_events,,07-08-2018 21:27:17,20934,107798,,
Iranian Harassment of U.S. Warships:2015: 222016: 362017: 142018: 0Source: @USNavy,foreign_relations ,,07-08-2018 20:29:27,38628,156777,,
The U.S. is working very closely with the Government of Thailand to help get all of the children out of the cave and to safety. Very brave and talented people!,current_events,,07-08-2018 13:14:13,36186,141762,,
The Rigged Witch Hunt originally headed by FBI lover boy Peter S (for one year) &amp; now 13 Angry Democrats should look into the missing DNC Server Crooked Hillary’s illegally deleted Emails the Pakistani Fraudster Uranium One Podesta &amp; so much more. It’s a Democrat Con Job!,collusion ,,07-07-2018 22:24:02,35792,130602,,
Public opinion has turned strongly against the Rigged Witch Hunt and the “Special” Counsel because the public understands that there was no  Collusion with Russia (so ridiculous) that the two FBI lovers were a fraud against our Nation &amp; that the only Collusion was with the Dems!,collusion ,,07-07-2018 20:42:48,28190,116645,,
Public opinion has turned strongly against the Rigged Witch Hunt and the “Special” Councel because the public understands that there was no  Collusion with Russia (so ridiculous) that the two FBI lovers were a fraud against our Nation &amp; that the only Collusion was with the Dems!,collusion ,,07-07-2018 20:29:34,2803,9628,,
Big decision will soon be made on our next Justice of the Supreme Court!,current_events,,07-07-2018 13:24:41,17775,103820,,
Twitter is getting rid of fake accounts at a record pace. Will that include the Failing New York Times and propaganda machine for Amazon the Washington Post who constantly quote anonymous sources that in my opinion don’t exist - They will both be out of business in 7 years!,news ,,07-07-2018 13:21:11,30058,126598,,
Just won lawsuit filed by the DNC and a bunch of Democrat crazies trying to claim the Trump Campaign (and others) colluded with Russia. They haven’t figured out that this was an excuse for them losing the election!,collusion ,,07-06-2018 16:57:34,35227,151126,,
Economy Economy Economy! https://t.co/Tz2PQ2xetT,economy,,07-06-2018 16:12:16,21912,91503,,
Thanks to REPUBLICAN LEADERSHIP America is WINNING AGAIN - and America is being RESPECTED again all over the world. Because we are finally putting AMERICA FIRST!,make_america_great_again,,07-06-2018 01:06:36,23755,119877,,
Every day the brave men and women of ICE are liberating communities from savage gangs like MS-13. We will NOT stand for these vile Democrat smears in law enforcement. We will always stand proudly with the BRAVE HEROES of ICE and BORDER PATROL!,border_security,,07-06-2018 00:58:50,26234,117336,,
A vote for Democrats in November is a vote to let MS-13 run wild in our communities to let drugs pour into our cities and to take economy and benefits away from hardworking Americans. Democrats want anarchy amnesty and chaos - Republicans want LAW ORDER and JUSTICE!,election,,07-06-2018 00:44:17,33537,131672,,
It was my great honor to join proud hardworking American Patriots in Montana tonight. I love you - thank you! #MAGA https://t.co/475ct7hW3D,random_kindness,,07-06-2018 00:11:09,14036,66063,,
...on Monday assume duties as the acting Administrator of the EPA. I have no doubt that Andy will continue on with our great and lasting EPA agenda. We have made tremendous progress and the future of the EPA is very bright!,current_events,,07-05-2018 19:37:58,9579,46816,,
I have accepted the resignation of Scott Pruitt as the Administrator of the Environmental Protection Agency. Within the Agency Scott has done an outstanding job and I will always be thankful to him for this. The Senate confirmed Deputy at EPA Andrew Wheeler will...,current_events,,07-05-2018 19:37:57,15218,65928,,
Congress - FIX OUR INSANE IMMIGRATION LAWS NOW!,border_security,,07-05-2018 14:17:23,26448,114948,,
.....Country being forced to endure a long and costly trial. Tell the people “OUT” and they must leave just as they would if they were standing on your front lawn. Hiring thousands of “judges” does not work and is not acceptable - only Country in the World that does this!,border_security,,07-05-2018 14:16:07,20471,86500,,
Congress must pass smart fast and reasonable Immigration Laws now. Law Enforcement at the Border is doing a great job but the laws they are forced to work with are insane. When people with or without children enter our Country they must be told to leave without our........,border_security,,07-05-2018 14:08:57,19830,84022,,
Happy Birthday America! https://t.co/SIi6xXsfof,random_kindness,,07-05-2018 02:47:35,33677,185695,,
The OPEC Monopoly must remember that gas prices are up &amp; they are doing little to help. If anything they are driving prices higher as the United States defends many of their members for very little $’s. This must be a two way street. REDUCE PRICING NOW!,foreign_relations ,,07-04-2018 20:46:00,26956,114781,,
https://t.co/ue5JEZy85v,random_kindness,,07-04-2018 14:44:53,21861,81305,,
Happy Fourth of July....Our Country is doing GREAT!,random_kindness,,07-04-2018 14:42:38,46295,227562,,
Tomorrow families across our Nation will gather to celebrate the Fourth of July. As we do we will think of the men &amp; women serving overseas at this very moment far away from their families protecting America - &amp; we will thank GOD for blessing us with these incredible HEROES! https://t.co/FQ1D7oEta2,random_kindness,,07-04-2018 00:36:39,20776,90767,,
...has endured because of the sweat blood and sacrifice of the American Armed Forces – the greatest force for peace and justice in the history of the world!,random_kindness,,07-03-2018 23:52:08,12972,67073,,
Tonight we gathered to celebrate the courageous men and women who make freedom possible: our brave service members and our wonderful Veterans. For 242 years American Independence...,random_kindness,,07-03-2018 23:52:06,18613,92312,,
Thank you @WVGovernor Jim Justice for that warm introduction. Tonight it was my great honor to attend the “Greenbrier Classic – Salute to Service Dinner” in West Virginia! God Bless our Veterans. God Bless America - and HAPPY INDEPENDENCE DAY TO ALL! https://t.co/V35qvCN8m6,random_kindness,,07-03-2018 23:19:35,10256,49400,,
After having written many best selling books and somewhat priding myself on my ability to write it should be noted that the Fake News constantly likes to pore over my tweets looking for a mistake. I capitalize certain words only for emphasis not b/c they should be capitalized!,news ,,07-03-2018 23:13:34,15333,88278,,
Just arrived in West Virginia! https://t.co/yjI0Xl5rMh,travel,,07-03-2018 22:21:08,2734,13199,,
The Washington Post is constantly quoting “anonymous sources” that do not exist. Rarely do they use the name of anyone because there is no one to give them the kind of negative quote that they are looking for. They are a disgrace to journalism but then again so are many others!,news ,,07-03-2018 21:35:11,23407,98967,,
Heading to West Virginia to be with my friend @WVGovernor Jim Justice at his beautiful Greenbrier Resort. He works hard does a great job and raises lots of money for charities!,random_kindness,,07-03-2018 21:26:01,9292,52633,,
After having written many best selling books and somewhat priding myself on my ability to write it should be noted that the Fake News constantly likes to pour over my tweets looking for a mistake. I capitalize certain words only for emphasis not b/c they should be capitalized!,news ,,07-03-2018 21:19:04,8927,42472,,
The Washington Post is constantly quoting “anonymous sources” that do not exist. Rarely do they use the name of anyone because there is no one to give them the kind of negative quote that they are looking for. They are a discgrace to journalism but then again so are many others!,news ,,07-03-2018 21:16:30,3468,12913,,
Wow! The NSA has deleted 685 million phone calls and text messages. Privacy violations? They blame technical irregularities. Such a disgrace. The Witch Hunt continues!,collusion ,,07-03-2018 14:18:44,28453,109026,,
Now that Harley-Davidson is moving part of its operation out of the U.S. my Administration is working with other Motor Cycle companies who want to move into the U.S. Harley customers are not happy with their move - sales are down 7% in 2017. The U.S. is where the Action is!,economy,,07-03-2018 14:00:22,18312,87917,,
Just out that the Obama Administration granted citizenship during the terrible Iran Deal negotiation to 2500 Iranians - including to government officials. How big (and bad) is that?,foreign_relations ,,07-03-2018 12:03:40,29751,94900,,
Many good conversations with North Korea-it is going well! In the meantime no Rocket Launches or Nuclear Testing in 8 months. All of Asia is thrilled. Only the Opposition Party which includes the Fake News is complaining. If not for me we would now be at War with North Korea!,foreign_relations ,,07-03-2018 11:16:18,19276,83420,,
How can the Democrats who are weak on the Border and weak on Crime do well in November. The people of our Country want and demand Safety and Security while the Democrats are more interested in  ripping apart and demeaning (and not properly funding) our great Law Enforcement!,election,,07-03-2018 10:57:52,20771,88158,,
When we have an “infestation” of MS-13 GANGS in certain parts of our country who do we send to get them out? ICE! They are tougher and smarter than these rough criminal elelments that bad immigration laws allow into our country. Dems do not appreciate the great job they do! Nov.,border_security,,07-03-2018 10:49:10,22371,96354,,
The economy is doing perhaps better than ever before and that’s prior to fixing some of the worst and most unfair Trade Deals ever made by any country. In any event they are coming along very well. Most countries agree that they must be changed but nobody ever asked!,foreign_relations ,,07-03-2018 10:33:44,14724,67668,,
I interviewed 4 very impressive people yesterday. On Monday I will be announcing my decision for Justice of the United States Supreme Court!,current_events,,07-03-2018 10:25:37,14187,75430,,
Crazy Maxine Waters said by some to be one of the most corrupt people in politics is rapidly becoming together with Nancy Pelosi the FACE of the Democrat Party. Her ranting and raving even referring to herself as a wounded animal will make people flee the Democrats!,current_events,,07-03-2018 10:16:51,19571,86022,,
Many Democrats are deeply concerned about the fact that their “leadership” wants to denounce and abandon the great men and women of ICE thereby declaring war on Law &amp; Order. These people will be voting for Republicans in November and in many cases joining the Republican Party!,election,,07-03-2018 02:43:57,26608,112425,,
Today it was my great honor to welcome Prime Minister Mark Rutte of the Netherlands to the @WhiteHouse! https://t.co/Zn6ZLM0tzy,foreign_relations ,,07-02-2018 21:48:02,12257,68349,,
Congratulations to Andres Manuel Lopez Obrador on becoming the next President of Mexico. I look very much forward to working with him. There is much to be done that will benefit both the United States and Mexico!,random_kindness ,,07-02-2018 03:01:30,67944,211701,,
A big week especially with our numerous victories in the Supreme Court. Heading back to the White House now. Focus will be on the selection of a new Supreme Court Justice. Exciting times for our country. Economy may be stronger than it has ever been!,current_events,,07-01-2018 19:39:28,26419,126018,,
The Liberal Left also known as the Democrats want to get rid of ICE who do a fantastic job and want Open Borders. Crime would be rampant and uncontrollable! Make America Great Again,border_security,,07-01-2018 12:11:05,30653,133568,,
I will be interviewed by @MariaBartiromo at 10:00 A.M. on @FoxNews,trump_admin ,,07-01-2018 12:00:03,8301,50863,,
,,,,,,,
,,,,,,,
,,,,,,,
Primary Key,Timestamp,Content (text),Hashtag (Boolean),Retweets Count,Favorite Count,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Primary Key,FK Trump Tweet ID,FK Topic ID,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Primary Key,Category Name,Sub Category,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,